id,event_time,username,role,action,detail
1459,2025-12-17 03:09:54,shishir1,user,Model Retrain,Automated schedule
1460,2026-02-01 09:05:02,Aditya45,user,Password Changed,Automated schedule
1461,2025-12-29 01:03:50,Diya451,user,Attendance Marked,From analytics panel
1462,2026-02-11 03:25:42,Atharv900,user,Logout,From desktop client
1463,2026-01-03 23:12:11,Myra89,user,Model Retrain,From analytics panel
1464,2025-12-12 06:53:45,Dhruv146,user,Export CSV,Automated schedule
1465,2026-01-02 05:00:14,Aarav480,user,Password Changed,Automated schedule
1466,2025-12-15 21:03:07,Diya284,user,Password Changed,User initiated
1467,2026-03-08 22:18:26,Vihaan431,user,Export CSV,Batch execution
1468,2025-12-10 01:10:24,Kabir906,user,Attendance Marked,Batch execution
1469,2026-03-09 08:01:22,Arjun893,user,Attendance Marked,Batch execution
1470,2025-12-16 16:39:08,Aditya656,user,Logout,From analytics panel
1471,2026-02-02 05:31:52,Arjun635,user,Logout,From analytics panel
1472,2026-03-04 17:54:47,Vihaan485,user,Export CSV,From desktop client
1473,2026-01-03 21:34:42,Atharv528,user,Attendance Marked,Automated schedule
1474,2025-12-07 13:34:54,Pari586,user,Login,From analytics panel
1475,2025-12-10 21:16:31,Aarav824,user,Login,Automated schedule
1476,2025-12-31 20:18:01,Myra298,user,Settings Changed,Manual trigger
1477,2025-11-23 04:36:06,Kabir484,user,Logout,From analytics panel
1478,2025-11-22 15:47:59,Dhruv146,user,Attendance Marked,Automated schedule
1479,2025-12-07 23:57:35,Aditya340,user,Export CSV,From desktop client
1480,2026-02-18 20:55:27,Sara239,user,Model Retrain,From analytics panel
1481,2026-02-14 03:39:10,Aarav485,user,Login,From analytics panel
1482,2026-02-04 17:59:51,Avni631,user,Settings Changed,Automated schedule
1483,2026-02-19 10:22:12,Reyansh444,user,Generate Face,User initiated
1484,2025-12-07 14:30:43,Avni845,user,Export CSV,From desktop client
1485,2025-12-23 23:32:14,Kabir61,user,Compare Faces,Automated schedule
1486,2026-01-02 18:09:59,Aarav171,user,Export CSV,From analytics panel
1487,2026-03-11 20:47:38,Pari586,user,Logout,From desktop client
1488,2026-01-07 10:32:49,Aadhya294,user,Login,User initiated
1489,2026-02-24 06:58:18,Aadhya440,user,Compare Faces,User initiated
1490,2025-11-26 11:43:53,Riya313,admin,Model Retrain,Automated schedule
1491,2025-12-18 06:46:50,Kiaan117,user,Logout,Automated schedule
1492,2026-01-30 00:42:38,Vihaan113,user,Settings Changed,Batch execution
1493,2026-01-30 08:45:24,Pari586,user,Model Retrain,Manual trigger
1494,2025-12-14 11:05:28,Kabir308,user,Settings Changed,Batch execution
1495,2025-12-28 05:19:14,Ira275,user,Logout,From desktop client
1496,2025-12-14 01:58:50,Pari869,user,Login,Batch execution
1497,2026-01-17 19:23:59,Kabir32,user,Password Changed,Automated schedule
1498,2026-02-27 04:48:47,Kiara950,user,Password Changed,Manual trigger
1499,2026-01-29 20:34:46,Aditya179,user,Settings Changed,From analytics panel
1500,2026-02-18 11:40:43,Diya497,user,Attendance Marked,From analytics panel
1501,2025-11-23 06:29:55,Aditya340,user,Login,Automated schedule
1502,2025-11-26 08:49:39,Aadhya294,user,Model Retrain,Manual trigger
1503,2026-01-14 20:24:06,Pari586,user,Generate Face,Manual trigger
1504,2025-11-13 20:58:36,Avni724,user,Model Retrain,From analytics panel
1505,2025-11-29 14:23:27,Anaya293,user,Logout,From desktop client
1506,2025-12-29 15:06:54,Dhruv830,user,Model Retrain,User initiated
1507,2025-12-08 20:30:11,Vihaan16,user,Attendance Marked,From desktop client
1508,2025-12-21 09:43:34,Arjun893,user,Attendance Marked,From desktop client
1509,2026-01-09 04:40:59,Diya183,user,Login,From desktop client
1510,2025-12-13 00:01:05,Vihaan16,user,Settings Changed,From desktop client
1511,2026-02-13 07:28:24,Aditya340,user,Settings Changed,User initiated
1512,2025-11-21 13:20:17,Anaya874,user,Model Retrain,Manual trigger
1513,2026-01-14 19:09:28,Dhruv10,user,Login,From analytics panel
1514,2026-03-06 19:30:59,Anaya874,user,Attendance Marked,Manual trigger
1515,2025-12-13 01:33:01,Riya941,user,Compare Faces,From analytics panel
1516,2026-02-10 21:23:27,Reyansh444,user,Logout,Batch execution
1517,2026-01-26 01:57:26,Avni545,user,Attendance Marked,User initiated
1518,2026-02-21 22:58:22,Atharv528,user,Generate Face,Automated schedule
1519,2026-02-09 01:23:39,Ishaan207,user,Login,From analytics panel
1520,2026-02-15 10:20:38,Riya933,user,Password Changed,Manual trigger
1521,2025-11-15 03:03:16,Reyansh444,user,Compare Faces,User initiated
1522,2025-11-28 16:58:43,Pari465,user,Logout,From analytics panel
1523,2026-01-12 15:16:47,Vihaan113,user,Generate Face,Batch execution
1524,2026-01-11 13:27:00,Diya389,user,Attendance Marked,From desktop client
1525,2026-02-07 22:06:13,Avni300,user,Attendance Marked,Batch execution
1526,2026-01-19 03:30:27,Ira409,user,Settings Changed,Automated schedule
1527,2025-12-24 06:07:36,Anaya874,user,Login,User initiated
1528,2025-12-09 18:57:21,Ishaan944,admin,Password Changed,From desktop client
1529,2025-11-13 11:30:53,Ishaan24,user,Password Changed,Batch execution
1530,2026-01-06 15:26:43,Kabir793,user,Model Retrain,From analytics panel
1531,2026-02-20 02:22:02,SG SHISHIR,user,Settings Changed,Manual trigger
1532,2025-12-23 20:13:28,Vihaan485,user,Generate Face,User initiated
1533,2026-01-03 15:53:30,Sara239,user,Attendance Marked,From analytics panel
1534,2026-02-11 14:11:37,Myra298,user,Model Retrain,User initiated
1535,2026-02-08 02:48:53,shishir1,user,Generate Face,Manual trigger
1536,2026-03-04 18:59:07,Sara194,user,Logout,From desktop client
1537,2026-03-05 07:38:36,Diya283,user,Settings Changed,User initiated
1538,2025-11-29 12:21:54,Diya317,user,Logout,From desktop client
1539,2025-12-01 04:43:01,Kabir61,user,Export CSV,User initiated
1540,2025-12-12 20:30:02,Aditya530,user,Password Changed,Manual trigger
1541,2026-03-11 15:40:10,Arjun635,user,Compare Faces,Batch execution
1542,2026-02-14 14:16:02,Diya59,user,Model Retrain,Manual trigger
1543,2025-12-22 01:26:27,Ishaan572,user,Compare Faces,User initiated
1544,2026-02-03 12:28:23,Ishaan627,user,Password Changed,User initiated
1545,2026-02-27 08:41:24,Kabir922,user,Password Changed,From analytics panel
1546,2026-01-26 11:48:35,Diya389,user,Compare Faces,From desktop client
1547,2026-01-23 22:06:24,Aarav875,user,Logout,From desktop client
1548,2025-11-30 00:38:19,Aarav824,user,Export CSV,From desktop client
1549,2026-01-14 13:24:33,Kiaan774,user,Password Changed,Batch execution
1550,2026-02-08 05:53:13,Sara285,user,Compare Faces,From desktop client
1551,2025-12-28 13:30:44,Avni300,user,Export CSV,From analytics panel
1552,2026-02-06 07:11:39,Aarav485,user,Attendance Marked,Batch execution
1553,2026-01-07 04:18:41,Aadhya440,user,Generate Face,User initiated
1554,2026-02-25 00:41:04,Vihaan113,user,Password Changed,Batch execution
1555,2026-02-18 12:21:25,Aadhya440,user,Logout,From desktop client
1556,2025-12-19 18:58:34,Aditya179,user,Generate Face,User initiated
1557,2026-02-03 22:15:03,Vihaan738,user,Generate Face,From analytics panel
1558,2025-12-12 23:47:07,Dhruv146,user,Generate Face,Manual trigger
1559,2025-11-12 12:53:44,Dhruv830,user,Password Changed,From analytics panel
1560,2026-03-05 07:26:37,Avni300,user,Password Changed,User initiated
1561,2026-02-22 07:48:13,Anaya874,user,Compare Faces,From desktop client
1562,2026-02-17 09:21:28,Kabir793,user,Logout,From analytics panel
1563,2026-02-25 06:00:59,Dhruv10,user,Settings Changed,From analytics panel
1564,2025-11-15 01:12:55,Avni845,user,Export CSV,From desktop client
1565,2025-11-18 12:00:51,Vihaan113,user,Logout,User initiated
1566,2025-12-31 21:21:43,Myra298,user,Settings Changed,From desktop client
1567,2025-12-26 10:37:26,Ira910,user,Model Retrain,From desktop client
1568,2025-12-20 20:35:12,Aarav485,user,Generate Face,Manual trigger
1569,2025-11-26 01:30:12,Riya897,user,Model Retrain,Batch execution
1570,2025-11-19 07:12:18,Anaya293,user,Settings Changed,User initiated
1571,2026-02-14 05:02:36,Vihaan132,user,Generate Face,From analytics panel
1572,2026-03-06 12:41:45,Ira967,user,Attendance Marked,Batch execution
1573,2026-03-03 07:51:45,Avni579,user,Password Changed,From desktop client
1574,2026-01-03 05:15:39,Aarav25,user,Export CSV,Batch execution
1575,2025-11-13 15:32:25,Ishaan224,user,Settings Changed,Automated schedule
1576,2026-01-17 21:11:14,Avni300,user,Settings Changed,From desktop client
1577,2025-12-25 11:28:41,Avni870,admin,Password Changed,User initiated
1578,2026-01-31 20:08:08,Myra298,user,Login,From analytics panel
1579,2025-11-15 09:48:57,Arjun421,user,Settings Changed,Automated schedule
1580,2025-12-08 06:49:20,Aarav474,user,Logout,Manual trigger
1581,2026-02-09 05:20:42,Myra89,user,Password Changed,Manual trigger
1582,2025-12-23 14:12:47,Kabir906,user,Generate Face,Manual trigger
1583,2026-01-26 13:38:43,Riya442,user,Settings Changed,Automated schedule
1584,2025-11-14 13:36:45,Kabir484,user,Model Retrain,Manual trigger
1585,2025-11-22 09:47:40,Kabir61,user,Model Retrain,Automated schedule
1586,2026-03-12 16:36:04,Riya933,user,Logout,Manual trigger
1587,2025-12-23 01:26:31,Kiara397,user,Attendance Marked,Manual trigger
1588,2026-01-18 12:31:42,Arjun893,user,Login,From analytics panel
1589,2026-01-11 14:11:08,Arjun116,user,Export CSV,User initiated
1590,2026-01-07 12:47:10,Riya945,user,Logout,User initiated
1591,2025-12-16 12:40:33,Sara194,user,Export CSV,Automated schedule
1592,2025-12-15 21:01:09,Aadhya294,user,Login,From desktop client
1593,2026-03-03 14:36:34,Kiara714,user,Login,Batch execution
1594,2025-11-14 16:49:36,Sara239,user,Password Changed,From analytics panel
1595,2026-02-20 11:39:35,Ishaan257,user,Settings Changed,User initiated
1596,2025-11-29 19:00:16,Aarav824,user,Settings Changed,Batch execution
1597,2026-03-10 23:39:37,Aditya179,user,Login,User initiated
1598,2025-12-20 11:26:37,Kabir531,user,Attendance Marked,From analytics panel
1599,2026-01-05 06:54:50,Aditya45,user,Logout,Manual trigger
1600,2026-01-22 09:03:39,Ira910,user,Generate Face,User initiated
1601,2026-01-17 11:11:55,Atharv96,user,Attendance Marked,Batch execution
1602,2026-01-09 22:24:42,Aditya656,user,Attendance Marked,Manual trigger
1603,2025-12-24 12:32:50,Ira910,user,Logout,Automated schedule
1604,2026-01-04 07:50:32,Vihaan738,user,Password Changed,User initiated
1605,2026-02-01 04:18:46,Vihaan751,user,Password Changed,From desktop client
1606,2026-01-09 00:51:11,Myra89,user,Settings Changed,Manual trigger
1607,2025-12-08 23:12:44,Vihaan888,user,Password Changed,Manual trigger
1608,2025-12-23 11:01:59,Sara662,user,Generate Face,Manual trigger
1609,2026-01-03 04:16:52,Diya59,user,Attendance Marked,User initiated
1610,2026-02-25 20:20:46,Ira967,user,Generate Face,Batch execution
1611,2026-03-03 09:18:44,Myra89,user,Settings Changed,Automated schedule
1612,2026-01-13 10:52:52,Avni300,user,Logout,User initiated
1613,2026-01-24 00:51:10,Aadhya294,user,Generate Face,User initiated
1614,2025-12-14 18:22:36,Dhruv830,user,Settings Changed,Batch execution
1615,2026-02-04 17:03:38,Myra407,user,Password Changed,Manual trigger
1616,2025-11-19 20:43:19,Diya389,user,Logout,Batch execution
1617,2026-01-21 21:18:19,Diya389,user,Password Changed,Batch execution
1618,2025-11-22 01:02:30,Ira275,user,Model Retrain,Manual trigger
1619,2025-12-07 05:34:18,Atharv96,user,Compare Faces,From desktop client
1620,2026-02-24 10:54:29,Aarav325,user,Generate Face,Manual trigger
1621,2026-02-18 08:32:54,Anaya874,user,Compare Faces,User initiated
1622,2025-12-17 13:09:44,Atharv528,user,Model Retrain,User initiated
1623,2026-01-24 08:30:35,Riya941,user,Logout,Manual trigger
1624,2025-12-20 22:58:30,Ira967,user,Logout,From desktop client
1625,2026-02-11 01:44:58,Kiara616,user,Export CSV,Manual trigger
1626,2026-02-05 10:07:17,Vihaan738,user,Compare Faces,From desktop client
1627,2026-02-10 10:27:42,Sara662,user,Settings Changed,Manual trigger
1628,2026-01-11 05:46:16,Ishaan231,user,Compare Faces,From analytics panel
1629,2026-03-10 14:42:30,Avni845,user,Password Changed,Manual trigger
1630,2025-12-16 10:54:02,Diya727,user,Export CSV,Automated schedule
1631,2025-12-17 01:15:02,Kabir525,user,Generate Face,Batch execution
1632,2025-11-14 15:49:10,Arjun667,user,Settings Changed,From desktop client
1633,2026-01-18 09:58:07,Kiara714,user,Generate Face,Batch execution
1634,2025-12-02 01:20:18,Ishaan372,user,Generate Face,User initiated
1635,2025-12-13 18:53:25,Atharv900,user,Export CSV,From desktop client
1636,2025-12-18 09:58:37,Kiara937,user,Compare Faces,Batch execution
1637,2026-01-30 22:20:09,Diya59,user,Compare Faces,Manual trigger
1638,2025-12-19 01:27:17,Vihaan751,user,Generate Face,Batch execution
1639,2025-12-19 01:15:53,shishir,admin,Export CSV,Automated schedule
1640,2025-12-24 23:40:18,Kiara616,user,Attendance Marked,Manual trigger
1641,2026-01-19 11:00:02,Diya727,user,Login,From desktop client
1642,2026-02-15 19:51:12,SG SHISHIR,user,Password Changed,From analytics panel
1643,2025-12-27 06:54:19,Riya340,user,Model Retrain,User initiated
1644,2026-03-08 02:07:34,Ishaan224,user,Model Retrain,User initiated
1645,2026-02-05 16:18:56,Kabir525,user,Model Retrain,Manual trigger
1646,2025-11-25 03:04:35,Riya897,user,Compare Faces,Automated schedule
1647,2025-12-06 09:38:54,Avni545,user,Compare Faces,From analytics panel
1648,2026-03-09 14:52:40,Kiara937,user,Compare Faces,User initiated
1649,2026-01-09 21:46:11,Myra116,admin,Settings Changed,From analytics panel
1650,2025-12-14 20:42:02,Vihaan317,user,Generate Face,From desktop client
1651,2025-12-18 18:26:47,Riya941,user,Attendance Marked,Automated schedule
1652,2026-02-23 18:53:31,Kiara14,user,Generate Face,Automated schedule
1653,2025-11-20 19:18:22,Kiara950,user,Compare Faces,Automated schedule
1654,2025-12-11 17:06:46,Ira910,user,Password Changed,From analytics panel
1655,2026-01-20 18:47:14,Riya340,user,Model Retrain,Manual trigger
1656,2026-01-30 19:19:13,Kiara711,user,Logout,User initiated
1657,2025-11-25 12:00:52,Sara919,user,Password Changed,From desktop client
1658,2026-03-01 15:44:56,Riya941,user,Logout,Batch execution
1659,2026-03-10 02:55:54,Avni579,user,Model Retrain,Manual trigger
1660,2026-02-05 05:12:04,Riya442,user,Model Retrain,Manual trigger
1661,2025-12-04 15:32:47,Diya637,user,Compare Faces,From desktop client
1662,2026-02-10 01:18:37,Ishaan627,user,Logout,From desktop client
1663,2026-01-29 00:55:23,Vihaan132,user,Export CSV,Automated schedule
1664,2026-01-15 03:42:31,Atharv528,user,Logout,Manual trigger
1665,2025-11-26 21:06:49,Diya59,user,Compare Faces,From desktop client
1666,2026-01-20 05:22:30,Aditya656,user,Logout,Batch execution
1667,2026-01-20 06:26:43,Diya183,user,Model Retrain,Automated schedule
1668,2025-12-22 02:58:40,Kiara950,user,Password Changed,Automated schedule
1669,2026-03-07 04:06:31,Ira275,user,Login,Automated schedule
1670,2026-01-22 18:42:17,Diya60,user,Login,From desktop client
1671,2025-11-27 21:19:49,Myra407,user,Password Changed,From desktop client
1672,2026-02-12 07:47:55,Aarav480,user,Export CSV,User initiated
1673,2026-01-08 22:40:44,Kiara616,user,Password Changed,From analytics panel
1674,2026-01-22 22:12:55,Myra407,user,Generate Face,From analytics panel
1675,2026-02-13 01:40:54,Aadhya418,user,Generate Face,Batch execution
1676,2025-11-23 06:26:57,Kabir484,user,Generate Face,Automated schedule
1677,2025-12-22 21:25:41,Avni545,user,Generate Face,User initiated
1678,2026-02-08 10:35:59,Ira249,user,Generate Face,User initiated
1679,2026-02-01 06:27:59,Ira409,user,Password Changed,Automated schedule
1680,2026-01-07 23:48:47,Arjun893,user,Model Retrain,Batch execution
1681,2026-01-02 13:30:54,Ishaan372,user,Attendance Marked,From desktop client
1682,2025-12-02 01:16:11,Arjun893,user,Settings Changed,Automated schedule
1683,2026-03-02 18:13:15,Kabir906,user,Settings Changed,From analytics panel
1684,2026-03-10 02:53:51,Avni724,user,Password Changed,From desktop client
1685,2026-01-25 00:03:33,Kiara397,user,Logout,From desktop client
1686,2026-02-10 00:38:22,Ishaan207,user,Export CSV,From analytics panel
1687,2026-01-11 12:08:39,Arjun667,user,Attendance Marked,Batch execution
1688,2025-12-24 08:09:50,Riya945,user,Export CSV,User initiated
1689,2026-01-21 02:40:55,Arjun421,user,Logout,From analytics panel
1690,2025-12-14 18:02:51,Kabir531,user,Attendance Marked,User initiated
1691,2025-12-28 07:43:52,Kiara14,user,Export CSV,From analytics panel
1692,2025-11-28 15:09:47,Kabir32,user,Settings Changed,Manual trigger
1693,2025-11-21 12:56:06,Ira249,user,Export CSV,Batch execution
1694,2026-03-01 14:43:08,Myra116,admin,Model Retrain,From analytics panel
1695,2025-12-13 07:42:35,Sara285,user,Attendance Marked,Batch execution
1696,2026-01-01 17:30:06,Aarav474,user,Generate Face,Manual trigger
1697,2025-11-26 06:28:39,Ishaan231,user,Password Changed,Manual trigger
1698,2025-12-12 19:55:11,Kiaan774,user,Compare Faces,From desktop client
1699,2026-01-05 14:59:36,Diya284,user,Export CSV,Automated schedule
1700,2026-03-09 23:16:18,Ishaan231,user,Logout,Batch execution
1701,2026-02-07 10:11:49,Aditya45,user,Compare Faces,From analytics panel
1702,2025-12-24 11:58:58,Atharv528,user,Generate Face,From desktop client
1703,2025-12-15 23:19:40,Avni545,user,Password Changed,From desktop client
1704,2026-02-23 03:21:16,Avni845,user,Compare Faces,Manual trigger
1705,2025-12-19 12:19:40,Kiara616,user,Logout,Automated schedule
1706,2026-02-26 02:37:46,Arjun635,user,Settings Changed,From analytics panel
1707,2026-02-22 23:38:34,Aarav474,user,Attendance Marked,From desktop client
1708,2026-02-07 19:40:47,Vihaan431,user,Login,Automated schedule
1709,2026-02-28 01:50:47,Dhruv667,user,Login,From desktop client
1710,2026-02-13 11:14:42,Diya283,user,Export CSV,From analytics panel
1711,2026-02-27 18:12:31,Aarav171,user,Password Changed,Automated schedule
1712,2025-11-20 05:04:23,Riya969,user,Logout,From analytics panel
1713,2026-02-07 17:29:26,Diya497,user,Compare Faces,User initiated
1714,2026-03-13 07:14:42,Vihaan16,user,Login,From analytics panel
1715,2025-11-26 11:27:37,Arjun635,user,Export CSV,Batch execution
1716,2025-11-14 07:53:19,Riya313,admin,Settings Changed,From analytics panel
1717,2025-11-21 22:48:57,Aadhya418,user,Password Changed,Automated schedule
1718,2025-11-17 06:27:35,Diya317,user,Login,Batch execution
1719,2026-02-09 20:27:04,Riya442,user,Attendance Marked,From analytics panel
1720,2025-11-19 00:27:33,Kiara616,user,Login,From analytics panel
1721,2026-02-02 09:43:51,Sara919,user,Login,Manual trigger
1722,2025-11-17 07:25:51,Aarav480,user,Compare Faces,User initiated
1723,2026-03-09 21:09:52,Pari869,user,Model Retrain,Batch execution
1724,2025-12-04 07:48:25,Avni579,user,Password Changed,From analytics panel
1725,2025-11-14 08:39:40,Kiara714,user,Model Retrain,From desktop client
1726,2025-12-04 23:01:56,Pari869,user,Generate Face,Manual trigger
1727,2026-01-10 16:52:35,Riya941,user,Password Changed,From analytics panel
1728,2025-11-29 04:18:46,Ishaan627,user,Attendance Marked,Batch execution
1729,2026-01-25 00:38:59,Ishaan24,user,Logout,User initiated
1730,2026-01-27 20:24:22,Ira409,user,Model Retrain,User initiated
1731,2025-11-28 14:37:00,Ishaan231,user,Generate Face,Batch execution
1732,2025-11-22 05:25:20,Aadhya505,user,Attendance Marked,From analytics panel
1733,2026-01-01 21:07:44,Kabir26,user,Password Changed,Automated schedule
1734,2026-01-15 17:17:58,Sara194,user,Attendance Marked,Automated schedule
1735,2026-02-07 19:44:37,Riya969,user,Login,Manual trigger
1736,2026-01-20 02:24:44,Kabir61,user,Compare Faces,From desktop client
1737,2026-02-11 17:59:50,Pari465,user,Generate Face,User initiated
1738,2026-02-14 14:26:38,Kiara711,user,Generate Face,From desktop client
1739,2026-01-31 06:34:11,Aadhya440,user,Generate Face,From desktop client
1740,2025-12-22 13:53:48,Pari23,user,Logout,From desktop client
1741,2026-02-14 02:24:52,Vihaan738,user,Password Changed,Batch execution
1742,2026-01-17 18:30:08,shishir1,user,Login,From desktop client
1743,2025-12-10 02:55:42,Arjun893,user,Export CSV,User initiated
1744,2026-01-04 07:08:22,Kiara44,user,Logout,User initiated
1745,2026-01-24 11:52:37,Ishaan257,user,Compare Faces,Automated schedule
1746,2025-12-04 04:59:25,Pari586,user,Generate Face,Manual trigger
1747,2026-03-02 10:38:56,Atharv900,user,Model Retrain,Batch execution
1748,2026-01-15 06:34:31,Kabir793,user,Settings Changed,From analytics panel
1749,2025-11-21 01:42:50,Avni579,user,Generate Face,Batch execution
1750,2025-12-11 01:06:14,Vihaan317,user,Export CSV,Manual trigger
1751,2025-12-13 03:16:35,Ishaan944,admin,Settings Changed,User initiated
1752,2026-02-12 18:27:56,Vihaan16,user,Logout,From desktop client
1753,2025-11-28 07:12:06,Kabir922,user,Logout,Automated schedule
1754,2026-02-15 15:35:55,Arjun893,user,Logout,From desktop client
1755,2026-02-21 09:41:29,Avni545,user,Logout,Automated schedule
1756,2026-02-20 02:21:11,Avni631,user,Export CSV,From desktop client
1757,2025-12-18 05:03:10,Sara919,user,Export CSV,Manual trigger
1758,2026-02-27 01:50:34,Dhruv830,user,Login,Manual trigger
1759,2026-01-08 18:38:02,Diya637,user,Logout,Manual trigger
1760,2025-12-30 03:12:11,Kabir32,user,Generate Face,Automated schedule
1761,2025-11-28 22:15:11,Reyansh444,user,Model Retrain,Automated schedule
1762,2025-12-19 16:04:58,Pari23,user,Generate Face,From analytics panel
1763,2026-02-21 00:49:29,Avni724,user,Model Retrain,Batch execution
1764,2025-12-25 06:25:17,Arjun667,user,Login,From analytics panel
1765,2026-02-27 13:54:36,Sara239,user,Compare Faces,Batch execution
1766,2026-01-20 13:34:19,Atharv528,user,Generate Face,From desktop client
1767,2025-11-25 00:11:40,Kiaan460,user,Model Retrain,From analytics panel
1768,2025-11-16 00:39:06,Aditya530,user,Logout,Automated schedule
1769,2026-01-17 13:00:02,Sara662,user,Generate Face,Automated schedule
1770,2025-11-26 17:35:14,Aarav875,user,Generate Face,User initiated
1771,2025-12-02 20:40:07,shishir,admin,Password Changed,Automated schedule
1772,2025-11-14 12:16:33,Dhruv146,user,Settings Changed,From analytics panel
1773,2026-03-02 02:06:59,Kiara14,user,Generate Face,From analytics panel
1774,2026-03-09 20:49:21,Anaya339,user,Export CSV,From desktop client
1775,2025-12-18 00:06:27,Diya317,user,Export CSV,Automated schedule
1776,2025-12-03 13:08:15,Ishaan224,user,Model Retrain,From analytics panel
1777,2025-12-01 03:38:29,Atharv900,user,Password Changed,User initiated
1778,2026-01-11 13:09:18,Diya60,user,Export CSV,Batch execution
1779,2025-12-04 04:56:26,Riya933,user,Compare Faces,From desktop client
1780,2026-02-07 12:10:49,Atharv528,user,Logout,From desktop client
1781,2025-11-29 11:47:18,Atharv528,user,Settings Changed,From desktop client
1782,2026-01-30 05:16:41,Kiaan460,user,Logout,From analytics panel
1783,2026-02-12 16:09:31,Arjun667,user,Password Changed,Automated schedule
1784,2026-01-28 18:57:49,Arjun667,user,Model Retrain,Manual trigger
1785,2026-01-25 23:34:28,Diya317,user,Generate Face,Manual trigger
1786,2025-11-25 23:07:36,Pari586,user,Login,User initiated
1787,2026-02-08 14:08:40,Avni845,user,Logout,User initiated
1788,2026-01-03 11:24:52,Vihaan132,user,Compare Faces,From desktop client
1789,2026-03-12 13:06:26,Riya941,user,Password Changed,From desktop client
1790,2026-02-08 00:05:39,shishir,admin,Model Retrain,User initiated
1791,2026-02-26 20:03:44,Riya313,admin,Attendance Marked,Automated schedule
1792,2026-01-23 15:41:49,Riya897,user,Generate Face,From analytics panel
1793,2026-03-13 03:55:48,Arjun667,user,Model Retrain,Batch execution
1794,2026-01-04 14:53:07,Aarav474,user,Password Changed,User initiated
1795,2025-12-30 07:06:54,Ira275,user,Compare Faces,Automated schedule
1796,2025-12-12 05:48:31,Avni631,user,Settings Changed,Batch execution
1797,2025-12-04 05:19:08,Anaya861,user,Settings Changed,From analytics panel
1798,2026-01-27 22:04:39,Anaya874,user,Generate Face,From analytics panel
1799,2026-01-23 18:07:19,Dhruv10,user,Settings Changed,Automated schedule
1800,2026-02-16 15:39:07,Kabir32,user,Login,User initiated
1801,2026-01-22 07:01:51,Aditya530,user,Export CSV,Automated schedule
1802,2025-12-12 19:55:18,Vihaan132,user,Compare Faces,Manual trigger
1803,2026-01-03 23:00:06,Aarav171,user,Generate Face,Automated schedule
1804,2025-12-07 05:58:48,Ishaan231,user,Model Retrain,User initiated
1805,2025-12-13 18:04:47,Ira249,user,Logout,From analytics panel
1806,2025-12-12 10:20:30,Riya945,user,Model Retrain,Batch execution
1807,2026-01-07 08:17:09,shishir1,user,Logout,Automated schedule
1808,2026-01-24 07:05:20,Riya969,user,Export CSV,User initiated
1809,2026-02-18 23:32:27,Riya897,user,Logout,From analytics panel
1810,2025-11-14 18:27:58,Vihaan113,user,Generate Face,Automated schedule
1811,2025-11-25 06:01:46,shishir1,user,Settings Changed,Automated schedule
1812,2025-12-10 21:31:15,Aadhya294,user,Login,From desktop client
1813,2025-11-15 16:06:59,Sara662,user,Compare Faces,From analytics panel
1814,2026-01-17 19:20:13,Arjun635,user,Settings Changed,Automated schedule
1815,2025-12-12 05:08:58,Kabir308,user,Logout,Manual trigger
1816,2025-12-01 11:36:26,Aarav171,user,Export CSV,From desktop client
1817,2025-11-19 22:34:00,Kabir922,user,Settings Changed,Manual trigger
1818,2026-02-22 04:11:14,Kabir793,user,Settings Changed,From analytics panel
1819,2025-12-02 15:16:18,Ira409,user,Login,Manual trigger
1820,2025-12-25 13:31:10,Aarav325,user,Login,From analytics panel
1821,2026-03-04 08:15:57,Dhruv830,user,Password Changed,From analytics panel
1822,2026-02-24 20:07:58,Myra116,admin,Model Retrain,From desktop client
1823,2026-01-05 14:31:56,Kiara711,user,Export CSV,Manual trigger
1824,2025-12-10 13:44:20,Myra407,user,Export CSV,Manual trigger
1825,2025-11-21 02:50:13,Myra407,user,Model Retrain,Batch execution
1826,2025-12-02 08:19:30,Riya442,user,Attendance Marked,Batch execution
1827,2026-03-09 20:31:50,Vihaan738,user,Settings Changed,Batch execution
1828,2026-01-22 16:21:31,Dhruv667,user,Generate Face,From desktop client
1829,2025-12-19 21:01:41,Anaya293,user,Model Retrain,User initiated
1830,2026-01-28 12:35:07,Riya969,user,Password Changed,From desktop client
1831,2025-12-18 01:29:46,Aditya179,user,Compare Faces,Batch execution
1832,2026-02-13 13:29:14,Diya183,user,Model Retrain,Manual trigger
1833,2026-03-07 15:31:22,Kiaan460,user,Attendance Marked,From desktop client
1834,2026-03-05 18:02:17,Aditya179,user,Settings Changed,From analytics panel
1835,2025-11-16 17:44:50,Anaya874,user,Attendance Marked,User initiated
1836,2026-02-05 07:53:59,Riya969,user,Attendance Marked,From analytics panel
1837,2025-11-18 14:46:15,Atharv240,user,Password Changed,From analytics panel
1838,2026-01-12 20:07:18,Kiara14,user,Attendance Marked,Automated schedule
1839,2025-12-09 22:07:45,Kiaan117,user,Login,Manual trigger
1840,2025-12-23 11:21:33,Anaya874,user,Logout,Automated schedule
1841,2026-02-23 18:42:50,Anaya861,user,Attendance Marked,User initiated
1842,2026-03-09 06:57:11,Vihaan317,user,Export CSV,Batch execution
1843,2025-12-27 21:03:50,Avni631,user,Export CSV,Automated schedule
1844,2026-03-07 13:21:01,shishir1,user,Attendance Marked,Manual trigger
